"bibjson.end_page","bibjson.year","bibjson.journal.volume","bibjson.journal.number","bibjson.month","bibjson.start_page","id","_version_","last_updated","bibjson.identifier.id","bibjson.identifier.type","bibjson.keywords","bibjson.subject.code","bibjson.subject.scheme","bibjson.subject.term","bibjson.author.name","bibjson.link.content_type","bibjson.link.type","bibjson.link.url","bibjson.abstract","bibjson.title","bibjson.journal.country","bibjson.journal.license.open_access","bibjson.journal.license.title","bibjson.journal.license.type","bibjson.journal.license.url","bibjson.journal.issns","bibjson.journal.publisher","bibjson.journal.language","bibjson.journal.title","created_date","bibjson.author.affiliation","admin.seal","bibjson.author.orcid_id"
"40",2017,"3","C","6","34","2e6e49a0bd7749f4a524a5226679190d",1669315757839745020,"2020-02-03T15:58:09","2352-7714","pissn","Animal model","R5-920","LCC","Medicine (General)","Júlia Vergara-Alert",,"fulltext","http://www.sciencedirect.com/science/article/pii/S2352771416300829","Emerging and re-emerging pathogens represent a substantial threat to public health, as demonstrated with numerous outbreaks over the past years, including the 2013–2016 outbreak of Ebola virus in western Africa. Coronaviruses are also a threat for humans, as evidenced in 2002/2003 with infection by the severe acute respiratory syndrome coronavirus (SARS-CoV), which caused more than 8000 human infections with 10% fatality rate in 37 countries. Ten years later, a novel human coronavirus (Middle East respiratory syndrome coronavirus, MERS-CoV), associated with severe pneumonia, arose in the Kingdom of Saudi Arabia. Until December 2016, MERS has accounted for more than 1800 cases and 35% fatality rate. Finding an animal model of disease is key to develop vaccines or antivirals against such emerging pathogens and to understand its pathogenesis. Knowledge of the potential role of domestic livestock and other animal species in the transmission of pathogens is of importance to understand the epidemiology of the disease. Little is known about MERS-CoV animal host range. In this paper, experimental data on potential hosts for MERS-CoV is reviewed. Advantages and limitations of different animal models are evaluated in relation to viral pathogenesis and transmission studies. Finally, the relevance of potential new target species is discussed.","Searching for animal models and potential target species for emerging pathogens: Experience gained from Middle East respiratory syndrome (MERS) coronavirus","NL",1,"CC BY-NC-ND","CC BY-NC-ND","https://www.elsevier.com/journals/one-health/2352-7714/open-access-journal","2352-7714","Elsevier","EN","One Health","2017-06-27T11:55:20","IRTA, Centre de Recerca en Sanitat Animal (CReSA, IRTA-UAB), Campus de la Universitat Autònoma de Barcelona, 08193 Bellaterra, Spain",,
,2020,"10","2","2","331","cc51d68d98df47569d8588bac93e36ad",1669319522873507840,"2020-03-02T13:40:23","2218-273X","eissn","covid-19","QR1-502","LCC","Microbiology","Gerard  Kian-Meng Goh","pdf","fulltext","https://www.mdpi.com/2218-273X/10/2/331","The world is currently witnessing an outbreak of a new coronavirus spreading quickly across China and affecting at least 24 other countries. With almost 65,000 infected, a worldwide death toll of at least 1370 (as of 14 February 2020), and with the potential to affect up to two-thirds of the world population, COVID-19 is considered by the World Health Organization (WHO) to be a global health emergency. The speed of spread and infectivity of COVID-19 (also known as Wuhan-2019-nCoV) are dramatically exceeding those of the Middle East respiratory syndrome coronavirus (MERS-CoV) and severe acute respiratory syndrome coronavirus (SARS-CoV). In fact, since September 2012, the WHO has been notified of 2494 laboratory-confirmed cases of infection with MERS-CoV, whereas the 2002&#8722;2003 epidemic of SARS affected 26 countries and resulted in more than 8000 cases. Therefore, although SARS, MERS, and COVID-19 are all the result of coronaviral infections, the causes of the coronaviruses differ dramatically in their transmissibility. It is likely that these differences in infectivity of coronaviruses can be attributed to the differences in the rigidity of their shells which can be evaluated using computational tools for predicting intrinsic disorder predisposition of the corresponding viral proteins.","Rigidity of the Outer Shell Predicted by a Protein Intrinsic Disorder Model Sheds Light on the COVID-19 (Wuhan-2019-nCoV) Infectivity","CH",1,"CC BY","CC BY","http://www.mdpi.com/journal/biomolecules/about","2218-273X","MDPI AG","EN","Biomolecules","2020-03-02T13:40:23","Goh’s BioComputing, Singapore 548957, Singapore",1,
"217",2020,"92",,"03","214","bd6c343cc4524609b1bb9ed4d7cde200",1669373799655538690,"2020-02-18T08:52:26","1201-9712","pissn",,"RC109-216","LCC","Infectious and parasitic diseases","Shi Zhao",,"fulltext","http://www.sciencedirect.com/science/article/pii/S1201971220300539","Backgrounds: An ongoing outbreak of a novel coronavirus (2019-nCoV) pneumonia hit a major city in China, Wuhan, December 2019 and subsequently reached other provinces/regions of China and other countries. We present estimates of the basic reproduction number, R0, of 2019-nCoV in the early phase of the outbreak. Methods: Accounting for the impact of the variations in disease reporting rate, we modelled the epidemic curve of 2019-nCoV cases time series, in mainland China from January 10 to January 24, 2020, through the exponential growth. With the estimated intrinsic growth rate (?), we estimated R0 by using the serial intervals (SI) of two other well-known coronavirus diseases, MERS and SARS, as approximations for the true unknown SI. Findings: The early outbreak data largely follows the exponential growth. We estimated that the mean R0 ranges from 2.24 (95%CI: 1.96–2.55) to 3.58 (95%CI: 2.89–4.39) associated with 8-fold to 2-fold increase in the reporting rate. We demonstrated that changes in reporting rate substantially affect estimates of R0. Conclusion: The mean estimate of R0 for the 2019-nCoV ranges from 2.24 to 3.58, and is significantly larger than 1. Our findings indicate the potential of 2019-nCoV to cause outbreaks. Keywords: Basic reproduction number, Novel coronavirus (2019-nCoV)","Preliminary estimation of the basic reproduction number of novel coronavirus (2019-nCoV) in China, from 2019 to 2020: A data-driven analysis in the early phase of the outbreak","NL",1,"CC BY-NC-ND","CC BY-NC-ND","http://www.elsevier.com/journals/international-journal-of-infectious-diseases/1201-9712/open-access-journal","1201-9712","Elsevier","EN","International Journal of Infectious Diseases","2020-02-18T08:52:25","JC School of Public Health and Primary Care, Chinese University of Hong Kong, Hong Kong, China; Shenzhen Research Institute of Chinese University of Hong Kong, Shenzhen, China; Corresponding authors.",,
,2020,"17","3766","05","3766","4fe48ad73c8e4ebb8df4a57ba5994803",1669377813416771580,"2020-05-26T23:02:06","10.3390/ijerph17113766","doi","bibliometrics","R","LCC","Medicine","Fei Zhai","text/html","fulltext","https://www.mdpi.com/1660-4601/17/11/3766","<b> </b>Background: COVID-19 has become one of the most serious global epidemics in the 21st Century. This study aims to explore the distribution of research capabilities of countries, institutions, and researchers, and the hotspots and frontiers of coronavirus research in the past two decades. In it, references for funding support of urgent projects and international cooperation among research institutions are provided. Method: the Web of Science core collection database was used to retrieve the documents related to coronavirus published from 2003 to 2020. Citespace.5.6.R2, VOSviewer1.6.12, and Excel 2016 were used for bibliometric analysis. Results: 11,036 documents were retrieved, of which China and the United States have contributed the most coronavirus studies, Hong Kong University being the top contributor. Regarding journals, the <i>Journal</i><i> </i><i>of</i><i> </i><i>Virology</i> has contributed the most, while in terms of researchers, Yuen Kwok Yung has made the most contributions. The proportion of documents published by international cooperation has been rising for decades. Vaccines for SARS-CoV-2 are under development, and clinical trials of several drugs are ongoing. Conclusions: international cooperation is an important way to accelerate research progress and achieve success. Developing corresponding vaccines and drugs are the current hotspots and research directions.","Research Progress of Coronavirus Based on Bibliometric Analysis","CH",1,"CC BY","CC BY","http://www.mdpi.com/journal/ijerph/about","1660-4601","MDPI AG","EN","International Journal of Environmental Research and Public Health","2020-05-27T00:01:55","School of Medical Equipment, Shenyang Pharmaceutical University, Shenyang 110016, China",1,
,2020,"9",,"06",,"2ce5af8bb4ed4c699103a4304024ee32",1669376672302891010,"2020-04-27T04:06:52","2352-7714","pissn",,"R5-920","LCC","Medicine (General)","E. Susan Amirian",,"fulltext","http://www.sciencedirect.com/science/article/pii/S2352771420300380","Recent international epidemics of coronavirus-associated illnesses underscore the urgent medical and public health need for vaccine development and regulatory body approved therapies. In particular, the current coronavirus disease 2019 (COVID-19) pandemic has quickly intensified interest in developing treatment options to mitigate impact on human life. Remdesivir (GS-5734™) is a broad-spectrum antiviral drug that is now being tested as a potential treatment for COVID-19 in international, multi-site clinical trials. Currently available evidence about the antiviral effects of remdesivir against coronaviruses is primarily based on in vitro and in vivo studies (including some on a chemically related compound, GS-441524™), which have demonstrated largely favorable findings. As the pandemic progresses, information from human compassionate use cases will continue to accumulate before the clinical trials are concluded. It is imperative for public health practitioners and the One Health community to stay up to date on the most promising potential therapeutic options that are under investigation. Thus, the purpose of this review is to synthesize the knowledge to date about remdesivir as a therapeutic option for coronaviruses, with a special focus on information relevant to the One Health community. Keywords: Remdesivir, GS-5734, Coronavirus, COVID-19, SARS-CoV-2, Compassionate use","Current knowledge about the antivirals remdesivir (GS-5734) and GS-441524 as therapeutic options for coronaviruses","NL",1,"CC BY-NC-ND","CC BY-NC-ND","https://www.elsevier.com/journals/one-health/2352-7714/open-access-journal","2352-7714","Elsevier","EN","One Health","2020-04-03T05:21:40","Public Health & Healthcare Program, Texas Policy Lab, School of Social Sciences, Rice University, Houston, TX, USA; Corresponding author at: Public Health & Healthcare Program, Texas Policy Lab, School of Social Sciences, Rice University, 6100 Main St, Houston, TX 77005, USA.",,
,2020,"8","236","05","236","b325df2c4ab7486abe948306f629a5d7",1669377258109796350,"2020-05-19T23:01:12","10.3390/vaccines8020236","doi","SARS-Cov-2","R","LCC","Medicine","Vicente Javier Clemente-Suárez","text/html","fulltext","https://www.mdpi.com/2076-393X/8/2/236","The novel Coronavirus 2 Severe Acute Respiratory Syndrome (SARS-Cov-2) has led to the Coronavirus Disease 2019 (COVID-19) pandemic, which has surprised health authorities around the world, quickly producing a global health crisis. Different actions to cope with this situation are being developed, including confinement, different treatments to improve symptoms, and the creation of the first vaccines. In epidemiology, herd immunity is presented as an area that could also solve this new global threat. In this review, we present the basis of herd immunology, the dynamics of infection transmission that induces specific immunity, and how the application of immunoepidemiology and herd immunology could be used to control the actual COVID-19 pandemic, along with a discussion of its effectiveness, limitations, and applications.","Dynamics of Population Immunity Due to the Herd Effect in the COVID-19 Pandemic","CH",1,"CC BY","CC BY","http://www.mdpi.com/journal/vaccines/about","2076-393X","MDPI AG","EN","Vaccines","2020-05-20T00:01:09","Faculty of Sports Sciences, Universidad Europea de Madrid, 28670 Madrid, Spain",1,
"19",2014,"13","2","12","14","38f3ea50e0fb47d6a6b0f305a25c04bc",1669319336965177340,"2020-02-04T13:36:53","1818-5746","pissn",,"SF600-1100","LCC","Veterinary medicine","Khetam Qaid Mayee",,"fulltext","http://www.qu.edu.iq/journalvm/index.php/vm_journal/article/view/296","This study was carried out to evaluate some epidemiological features of Bovine Coronavirus infection by using one-step real-time fluorogenic quantitative reverse transcription polymerase chain reaction (RT-qPCR) assay based on SYBR Green I dye in detection. Coronaviruses detected by the same nucleocapsid (N) gene primers under 98% similarity with HECV-4408 (human enteric Coronavirus) in children according to NCBI with product size 124bp. 285 fecal samples have been examined by routine methods against pathogenic bacteria in the intestines (E.coli, Salmonella Spp.) and Cryptosporidium parvum, the samples positive for the parasite submitted to molecular testing because they may be mixed with coronavirus infections. 100 samples were screened for the presence of BCoVs antigens by using an immunochromatographic rapid test as a field fast test. Where 44% of samples showed positivity to BCoVs, out of 50 samples submitted to quantitative reverse transcription (RT-qPCR) assay. Out of 50 – 31 samples had been positive. We found that distribution of BCoVs was significantly higher in rural areas 33.3%-87.5% as compare to cities 71.4%-75%, the infection in males reach to75% vas 53.5% in females, high infection rate 62.9% in < 1- 4 months age as compared with > 1 month age 62.9%. The results of infection rate showed high percentage during February 77.7% while the percentage on (January, December, March, and April) was (66.6%, 66.1%, 54.5%, and 50%) respectively.","Some epidemiological features of BCoVs infection in Al-Qadisiyah Province by using real time-qPCR technique","IQ",1,"CC BY-NC","CC BY-NC","http://www.qu.edu.iq/journalvm/index.php/vm_journal/about","1818-5746","College of Veterinary Medicine","EN","Al-Qadisiyah Journal of Veterinary Medicine Sciences ","2018-10-30T20:19:36","Coll. of Vet. Med. / Univ. of Al-Qadisiyah",,
,2020,"8",,"5",,"c9d23f3c32f344f380d9cb9b25dad9e2",1669377338630995970,"2020-05-13T05:38:58","2296-2565","eissn","COVID-19","RA1-1270","LCC","Public aspects of medicine","Peng Xie","HTML","fulltext","https://www.frontiersin.org/article/10.3389/fpubh.2020.00189/full","The novel coronavirus disease 2019 (COVID-19) is an acute infectious disease caused by infection with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Currently, the World Health Organization has confirmed that COVID-19 is a global infectious disease pandemic. This is the third acute infectious disease caused by coronavirus infection in this century, after sudden acute respirator syndrome and Middle East respiratory syndrome. The damage mechanism of SARS-CoV-2 is still unclear. It is possible that protein S binds to angiotensin-converting enzyme 2 receptors and invades alveolar epithelial cells, causing direct toxic effects and an excessive immune response. This stimulates a systemic inflammatory response, thus forming a cytokine storm, which leads to lung tissue injury. In severe cases, the disease can lead to acute respiratory distress syndrome, septic shock, metabolic acidosis, coagulation dysfunction, and multiple organ dysfunction syndromes. Patients with severe COVID-19 have a relatively high mortality rate. Currently, there are no specific antiviral drugs for the treatment of COVID-19. Most patients need to be admitted to the intensive care unit for intensive monitoring and supportive organ function treatments. This article reviews the epidemiology, pathogenesis, clinical manifestations, diagnosis, and treatment methods of severe COVID-19 and puts forward some tentative ideas, aiming to provide some guidance for the diagnosis and treatment of severe COVID-19.","Severe COVID-19: A Review of Recent Progress With a Look Toward the Future","CH",1,"CC BY","CC BY","http://journal.frontiersin.org/journal/public-health#about","2296-2565","Frontiers Media S.A.","EN","Frontiers in Public Health","2020-05-13T06:38:58","Department of Critical Care Medicine of the Third Affiliated Hospital (The First People's Hospital of Zunyi), Zunyi Medical University, Zunyi, China",1,
"17",2020,"7","1","4","8","4ff2fb683fc0487bb8937532bf43c77d",1669377182125785090,"2020-05-18T16:43:22","2313-8920","pissn","coronavirus","JZ2-6530","LCC","International relations","S. S. Zhiltsov","html","fulltext","https://www.postsovietarea.com/jour/article/view/223","The year of 2020 started a new chapter in the development of former-Soviet countries. The coronavirus epidemic, which began in the Chinese city of Wuhan, has spread to affect all countries throughout the world, including the countries of the former Soviet Union. Its influence has already affected the economic and social development of the countries in the post-Soviet space. Closing borders, stopping tourism, and imposing severe restrictions on transport services were the first measures that contributed to reducing the incidence rates. At the same time, these measures affected bilateral and multilateral trade and economic relations among the countries of the post-Soviet space.All countries of the post-Soviet space have taken steps to allocate additional funds to combat coronavirus. Ad hoc funds were formed, the review of budget expenditures and revenues began. However, in fact in the first few months the countries faced economic distress, the overcoming of which could take considerable time.The coronavirus epidemic is taking place against the backdrop of global economic crisis and a sharp drop in oil prices. Economic development models based on increasing consumption without economic growth, increasing the level of external and internal debt have shown their insolvency. In these conditions, the countries of the post-Soviet space, which are highly dependent on the external factor, have also experienced significant economic hardships.Finally, the «price warfare» in the oil market has a strong influence. The United States and Saudi Arabia’s attempts to achieve dominance in the oil market, by displacing Russia from it, as well, have had a destabilizing impact on the world oil market. This factor has had a direct impact on those former-Soviet countries that produce and export hydrocarbon resources.In general, the coronavirus epidemic, taking place against the backdrop of global economic challenges and oil competition, will have a negative impact on the economic and political development of former-Soviet countries. The impact of the epidemic, its consequences, will affect the former-Soviet countries for many years to come.","Coronavirus hits former-Soviet countries","RU",1,"CC BY","CC BY","http://www.postsovietarea.com/jour/about/submissions#copyrightNotice","2313-8920","Centre of Regional Research","RU","Problemy Postsovetskogo Prostranstva","2020-05-18T16:43:22","Diplomatic Academy of the Ministry of Foreign Affairs of Russia",,
"314",2009,"25","4","08","307","6482f1ffb5db43a2933f214ccc3dabb5",1669374242096939010,"2020-02-03T20:39:11","10.7124/bc.0007EA","doi","severe acute respiratory syndrome virus","QH301-705.5","LCC","Biology (General)","Limanskaya O. Yu.",,"fulltext","http://www.biopolymers.org.ua/archive/2009/04/ru/9.pdf","Aim. To design the maps of matched and mismatched potential hairpin structures in the genomes of human and animal coronaviruses. Methods. Bioinformatic analysis of coronaviruses nucleotide sequences, atomic force microscopy. Results. Thermodynamically stable matched and mismatched inverted repeats forming hairpin structures that can appear in genomic RNA of the human and animal coronaviruses (severe acute respiratory syndrome virus, murine hepatitis virus, porcine epidemic diarrhea virus, transmissible gastroenteritis virus and bovine coronavirus) are determined. The maps of hairpin localization (which are a part of the genome signaling mechanisms) are obtained for the genome of coronaviruses. Conclusions. The genes encoding replicase and spike glycoproteins of coronaviruses are the main sites of the localization of potential conservative structural motives. The hairpins are shown to be conservative structural elements inside the set of coronavirus isolates of one species","Bioinformatic analysis of inverted repeats of coronaviruses genome ","UA",1,"CC BY","CC BY","http://biopolymers.org.ua/authors/","0233-7657","Institute of Molecular Biology and Genetics, National Academy of Sciences of Ukraine","EN","Biopolymers and Cell ","2009-09-09T16:35:31",,,
,2020,"13","3","3","46","f733fcb3951c4884bedef8b6b9942885",1669376251528216580,"2020-03-13T14:13:51","1911-8074","eissn","covid-19","HD61","LCC","Risk in industry. Risk management","Michael McAleer","pdf","fulltext","https://www.mdpi.com/1911-8074/13/3/46","A novel coronavirus was reported to the World Health Organization (WHO) in China on 31 December 2019. The WHO named the disease COVID-19 on 11 February 2020. As of 26 February 2020, the disease has been detected on all continents, except for Antarctica. Daily updates on COVID-19 since early February 2020 have made headline news worldwide for much of 2020. This editorial evaluates risk management based on the Global Health Security (GHS) Index of global health security capabilities in 195 countries. The GHS Index lists the countries best prepared for an epidemic or pandemic. COVID-19 is compared with two related coronavirus epidemics, SARS and MERS, in terms of the number of reported human infections, deaths, countries, major country clusters, timelines, and the likelihood of discovering a safe, effective, and approved vaccine.","Prevention Is Better Than the Cure: Risk Management of COVID-19","CH",1,"CC BY","CC BY","http://www.mdpi.com/journal/jrfm/about","1911-8066","MDPI AG","EN","Journal of Risk and Financial Management","2020-03-13T14:13:51","Department of Finance, Asia University, Taichung 41354, Taiwan",1,
"8",2020,"46","1","4","1","6c28758882164d5b91f248c0fa5c256e",1669376827518353410,"2020-05-03T11:41:48","10.1186/s13052-020-0820-x","doi","Newborns","RJ1-570","LCC","Pediatrics","Domenico Umberto De Rose","HTML","fulltext","http://link.springer.com/article/10.1186/s13052-020-0820-x","Abstract Recently, an outbreak of viral pneumonitis in Wuhan, Hubei, China successively spread as a global pandemia, led to the identification of a novel betacoronavirus species, the 2019 novel coronavirus, successively designated 2019-nCoV then SARS-CoV-2). The SARS-CoV-2 causes a clinical syndrome designated coronavirus disease 2019 (COVID19) with a spectrum of manifestations ranging from mild upper respiratory tract infection to severe pneumonitis, acute respiratory distress syndrome (ARDS) and death. Few cases have been observed in children and adolescents who seem to have a more favorable clinical course than other age groups, and even fewer in newborn babies. This review provides an overview of the knowledge on SARS-CoV-2 epidemiology, transmission, the associated clinical presentation and outcomes in newborns and infants up to 6?months of life.","Novel Coronavirus disease (COVID-19) in newborns and infants: what we know so far","GB",1,"CC BY","CC BY","http://www.biomedcentral.com/getpublished/copyright-and-license","1720-8424","BMC","EN","Italian Journal of Pediatrics","2020-05-03T12:41:48","Neonatal Intensive Care Unit, Department of Neonatology, Bambino Gesù Children’s Hospital, IRCCS",1,
,2019,"19","0","10",,"007d685094164aa48d5c7d6966b0ca5f",1669377228561973250,"2020-05-18T17:21:55","1728-8800","pissn","new coronavirus infection","RC666-701","LCC","Diseases of the circulatory (Cardiovascular) system","S. Yu. Martsevich","html","fulltext","https://cardiovascular.elpub.ru/jour/article/view/2567","In the current epidemic of a new coronavirus infection, COVID-19 treatment of patients with chronic non-communicable diseases (NCDS) and cardiovascular diseases (CVD), in particular, requires close attention of doctors. The main objectives of such patients’ management tactics are to ensure that patients comply with self-isolation measures that prevent infection, motivate patients to follow all medical recommendations. Special attention should be paid to comply with recommended treatment of CVD. In the case of an infectious disease, it is necessary to assess the prescribed therapy for interaction with medications already taken by the patient. However, the tactics for COVID-19 therapy, including in patients with NCDS, may change over time, since there are currently no drugs with proven effectiveness for the treatment of a new coronavirus infection.","Self-monitoring and treatment of chronic non-communicable diseases in the context of the COVID-19 pandemic. Consensus of experts of the National society of evidence-based pharmacotherapy and the Russian society of the prevention of non-communicable diseases","RU",1,"CC BY","CC BY","https://cardiovascular.elpub.ru/jour/about/submissions#copyrightNotice","1728-8800","«SILICEA-POLIGRAF» LLC","RU","????????????????? ??????? ? ????????????","2020-05-18T17:21:55","National Medical Research Center for Therapy and Preventive Medicine of the Ministry of Health of the Russian Federation",,
"17",2020,"0","1","3","15","ad765c1f4a0b424888a8b3ca3a2dea42",1669376672335396860,"2020-03-23T13:27:59","2617-5509","pissn","coronavirus epidemic","T1-995","LCC","Technology (General)","Igor G. Nesteruk","html","fulltext","http://scinews.kpi.ua/article/view/198043","Unfortunately, we can already talk about the coronavirus COVID-19 epidemic outbreak in Europe. This is evidenced by the large number of confirmed cases in Italy, registered in recent days. Prospects for epidemic development can be estimated from the accumulated information on the cases growth rate in mainland China. Comparison with the data on China will allow us to evaluate the effectiveness of quarantine measures and the level of individual protection, since we are dealing with the same pathogen. This short message provides a simple method of data comparison that can be useful for both governmental organizations and anyone. The first data points for the epidemic in Italy corresponded to the epidemic dynamics in mainland China. Fortunately, the growth rate of coronavirus patients in Europe has not become as threatening since February 29, 2020.","CORONAVIRUS EPIDEMIC OUTBREAK IN EUROPE. COMPARISON WITH THE DYNAMICS IN MAINLAND CHINA","UA",1,"CC BY","CC BY","http://scinews.kpi.ua/about/submissions#copyrightNotice","2617-5509","National Technical University of Ukraine Igor Sikorsky Kyiv Polytechnic Institute ","EN","KPI Science News","2020-03-23T13:27:59","Institute of Hydromechanics, NAS of Ukraine;
Igor Sikorsky Kyiv Polytechnic Institute",,
,2020,"12","1","February",,"6dfae475aa14493da1b7eb32882d661a",1669319485605019650,"2020-02-11T16:53:14","10.4081/pr.2020.8495","doi",,"R","LCC","Medicine","Désirée Caselli","HTML","fulltext","https://www.pagepress.org/journals/index.php/pr/article/view/8495","
A novel epidemic is challenging the global health care system. Starting from probably November to December 2019, another Coronavirus entered the arena of human pathogens, to be then defined 2019- nCoV [...].
","2019-nCoV: Polite with children!","IT",1,"CC BY-NC","CC BY-NC","https://www.pagepress.org/journals/index.php/pr/about/submissions","2036-749X","PAGEPress Publications","EN","Pediatric Reports","2020-02-11T16:53:13","Giovanni XXIII Children Hospital, Azienda Ospedaliero-Universitaria Consorziale Policlinico, Bari",1,
"106",2020,"13","3",,"99","8a8778f26bd64faf8fcc11470ae75895",1669373693706371070,"2020-02-27T12:17:10","2352-4146","pissn","zoonosis; epidemics; 2019-ncov; virology; epidemiology","RC955-962","LCC","Arctic medicine. Tropical medicine","Marli C Cupertino","html","fulltext","http://www.apjtm.org/article.asp?issn=1995-7645;year=2020;volume=13;issue=3;spage=99;epage=106;aulast=Cupertino","Infectious diseases continue to impose unpredictable burdens on global health and economies, a subject that requires constant research and updates. In this sense, the objective of the present article was to review studies on the role of wild animals as reservoirs and/or dispersers of etiological agents of human infectious diseases in order to compile data on the main wild animals and etiological agents involved in zoonotic outbreaks. A systematic review was carried out using PRISMA guidelines, using the PubMed, Scopus and SciELO platforms as data banks. The descriptors used were “zoonosis”, “human infectious diseases” and “wild animals”. The results show that wild animals (mainly bats, birds and primates) play an important role in the dissemination of etiological agents (mainly viruses, as a new coronavirus called 2019 Novel Coronavirus) in extensive geographic regions. Moreover, these wild animal organisms can act as the site for essential biotic synergy among several pathogenic microorganisms, promoting a higher rate of adaptation, mutation and even genetic recombination, with consequent stimulation of new strains and subtypes, inducing new infectious agents with unknown virulent potential. In conclusion, the monitoring of these diseases and adequate preparation for possible epidemics and pandemics are fundamental conditions for the mitigation of their future impact. The zoonotic threat of these etiological agents and the impact on public health can be enormous as shown by the ongoing epidemic of 2019 novel coronavirus (2019- nCoV) infections.","Emerging and re-emerging human infectious diseases: A systematic review of the role of wild animals with a focus on public health impact","IN",1,"CC BY-NC-SA","CC BY-NC-SA","http://www.apjtm.org/aboutus.asp","2352-4146","Wolters Kluwer Medknow Publications","EN","Asian Pacific Journal of Tropical Medicine","2020-02-27T12:17:10",,,
,2020,"25","1876","04","1876","c9c2c670ac8544f49ceefa547bad30de",1669376530275368960,"2020-04-18T23:01:30","10.3390/molecules25081876","doi","<i>Morus</i> spp.","QD241-441","LCC","Organic chemistry","Inès Thabti","text/html","fulltext","https://www.mdpi.com/1420-3049/25/8/1876","(1) Background: Viral respiratory infections cause life-threatening diseases in millions of people worldwide every year. Human coronavirus and several picornaviruses are responsible for worldwide epidemic outbreaks, thus representing a heavy burden to their hosts. In the absence of specific treatments for human viral infections, natural products offer an alternative in terms of innovative drug therapies. (2) Methods: We analyzed the antiviral properties of the leaves and stem bark of the mulberry tree (<i>Morus</i> spp.). We compared the antiviral activity of <i>Morus</i> spp. on enveloped and nonenveloped viral pathogens, such as human coronavirus (HCoV 229E) and different members of the <i>Picornaviridae</i> family—human poliovirus 1, human parechovirus 1 and 3, and human echovirus 11. The antiviral activity of 12 water and water–alcohol plant extracts of the leaves and stem bark of three different species of mulberry—<i>Morus alba</i> var. <i>alba</i>, <i>Morus alba</i> var. <i>rosa</i>, and <i>Morus rubra</i>—were evaluated. We also evaluated the antiviral activities of kuwanon G against HCoV-229E. (3) Results: Our results showed that several extracts reduced the viral titer and cytopathogenic effects (CPE). Leaves’ water-alcohol extracts exhibited maximum antiviral activity on human coronavirus, while stem bark and leaves’ water and water-alcohol extracts were the most effective on picornaviruses. (4) Conclusions: The analysis of the antiviral activities of <i>Morus</i> spp. offer promising applications in antiviral strategies.","Advances on Antiviral Activity of <i>Morus</i> spp. Plant Extracts: Human Coronavirus and Virus-Related Respiratory Tract Infections in the Spotlight","CH",1,"CC BY","CC BY","http://www.mdpi.com/journal/molecules/about","1420-3049","MDPI AG","EN","Molecules","2020-04-19T00:01:26","L2CM, Université de Lorraine, CNRS, F-54000 Nancy, France",1,
"12",2020,"19","1","3","1","e0149302100946ae9b016f8c6ba71d7b",1669376724351057920,"2020-03-15T12:07:45","10.1186/s12942-020-00202-8","doi","COVID-19","R858-859.7","LCC","Computer applications to medicine. Medical informatics","Maged N. Kamel Boulos","HTML","fulltext","http://link.springer.com/article/10.1186/s12942-020-00202-8","Abstract In December 2019, a new virus (initially called ‘Novel Coronavirus 2019-nCoV’ and later renamed to SARS-CoV-2) causing severe acute respiratory syndrome (coronavirus disease COVID-19) emerged in Wuhan, Hubei Province, China, and rapidly spread to other parts of China and other countries around the world, despite China’s massive efforts to contain the disease within Hubei. As with the original SARS-CoV epidemic of 2002/2003 and with seasonal influenza, geographic information systems and methods, including, among other application possibilities, online real-or near-real-time mapping of disease cases and of social media reactions to disease spread, predictive risk mapping using population travel data, and tracing and mapping super-spreader trajectories and contacts across space and time, are proving indispensable for timely and effective epidemic monitoring and response. This paper offers pointers to, and describes, a range of practical online/mobile GIS and mapping dashboards and applications for tracking the 2019/2020 coronavirus epidemic and associated events as they unfold around the world. Some of these dashboards and applications are receiving data updates in near-real-time (at the time of writing), and one of them is meant for individual users (in China) to check if the app user has had any close contact with a person confirmed or suspected to have been infected with SARS-CoV-2 in the recent past. We also discuss additional ways GIS can support the fight against infectious disease outbreaks and epidemics.","Geographical tracking and mapping of coronavirus disease COVID-19/severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) epidemic and associated events around the world: how 21st century GIS technologies are supporting the global fight against outbreaks and epidemics","GB",1,"CC BY","CC BY","http://www.biomedcentral.com/getpublished/copyright-and-license","1476-072X","BMC","EN","International Journal of Health Geographics","2020-03-15T12:07:44","School of Information Management, Sun Yat-sen University",1,
