drug,count
Minoxidil,2
Azacitidine,2
tobramycin,2
Rescinnamine,2
docetaxel,2
folic acid,2
dapsone,2
pyridoxal,2
Voriconazole,2
formoterol,2
25-hydroxycholecalciferol,2
fluoxetine,2
sildenafil,2
Valacyclovir,2
vildagliptin,2
Mercaptopurine,2
Ivabradine,2
biotin,2
Irbesartan,2
Etravirine,2
progesterone,2
tenofovir alafenamide,2
Acalabrutinib,2
radotinib,2
ketotifen,2
Folic acid,2
Ethylenediaminetetraacetic acid,2
midazolam,2
Pemirolast,2
PSI-7977,2
Lenalidomide,2
tirofiban,2
mycophenolate mofetil.,2
pioglitazone,2
Paracetamol,2
romidepsin,2
Propafenone,2
ledipasvir,2
ergotamine,2
mefenamic acid,2
delamanid,2
aliskiren,2
Nintedanib,2
gliclazide,2
disodium salt,2
pembrolizumab,2
Hidroxicloroquina,2
fludrocortisone,2
sorafenib,2
Sitagliptin,2
cholecalciferol,2
cystine,2
5-azacytidine,2
Spectinomycin,2
camptothecin,2
guaifenesin,2
Xofluza,2
dapagliflozin,2
dihydroergotamine,2
cabergoline,2
apremilast,2
Atovaquone,2
crystal violet.,2
Hydrocortisone,2
levodopa,2
Belinostat,2
Flecainide,2
furosemide,2
Lisinopril,2
Methionine,2
Nitric Oxide.,2
Linezolid,2
celecoxib,2
Aspirin,2
entecavir,2
salicylamide,2
rifampin,2
boceprevir,2
Camazepam,2
Formoterol,2
6-thioguanine,2
tecovirimat,2
metamizole,2
Rocuronium,2
nitrofurantoin,2
Cocaine,2
Quinacrine,2
salbutamol,2
Carbamazepine,2
Metronidazole,2
propafenone,2
riboflavin,2
Terbutaline,2
flavin adenine dinucleotide,2
famciclovir,2
Bortezomib,2
Eplerenone,2
cefepime,2
Alcohols,2
Gliclazide,2
cytarabine,1
Domperidone,1
Nitrous oxide,1
Reserpine,1
zafirlukast,1
dimethyl sulfoxide.,1
dimethyl sulphoxide,1
phenazopyridine,1
vitamin D3.,1
Tamin,1
L-carnitine,1
labetalol,1
triamcinolone,1
cetirizine,1
mebendazole,1
niacin,1
Alprazolam,1
Ethinamate,1
Cysteamine,1
hexachlorophene,1
gabexate,1
Baloxavir marboxil,,1
Ketoconazole,1
rescinnamine,1
auranofin,1
nitric oxide;,1
mupirocin,1
risperidone,1
Viracept,1
mifepristone,1
Daclatasvir,1
Molsidomine,1
Pivmecillinam,1
Nitric oxide,,1
Cabergoline,1
eszopiclone,1
ecteinascidin 743,1
Suberoylanilide hydroxamic acid,1
2-beta,1
cyclosporin A;,1
Amantidine,1
dofetilide,1
estriol,1
praziquantel,1
L-serine,1
Verapamil,1
Allergan,1
perindopril,1
Ranolazine,1
papaverine,1
montelukast,1
BMS-790052,1
verapamil,1
crizotinib,1
grazoprevir,1
spirapril,1
cytosine arabinoside,1
oxaliplatin,1
Thein,1
FK506,1
sulfadiazine,1
Tamsulosin,1
Doravirine,1
Mesalazine,1
Ethanolamine Oleate,1
ethambutol,1
Aminophylline,1
tetraethylthiuram disulfide,,1
daptomycin,1
cysteamine,1
minoxidil,1
tamoxifen,1
azacitidine,1
framycetin,1
Pyrazine carboxamide,,1
vitamin B2,1
vitamin B3,1
silver sulfadiazine,1
S-adenosylmethionine,1
Penicillin G,1
ethyl alcohol,,1
Paclitaxel,1
hesperetin,1
liothyronine,1
posaconazole,1
Dopamine,1
Phenylalanine,1
Pyrazinamide,1
Canagliflozin,1
Perampanel,1
vitamin D3,1
Vidarabine,1
pimozide,1
ST-246,1
zofenopril,1
piperazine,1
epinephrine,1
gosogliptin,1
endothelium-derived relaxing factor,1
fluticasone,1
Pimozide,1
Apremilast,1
isoflurane,1
fluconazole,1
imiquimod,1
Rifaximin,1
Glutamine,1
tizanidine,1
Sumatriptan,1
Famciclovir,1
Tenofovir alafenamide,,1
aluminum hydroxide,1
terfenadine,1
Dimethyl fumarate,1
Diethylstilbestrol,1
Meloxicam,1
Deoxyadenosine,1
Ertapenem,1
Prazosin,1
phenobarbital,1
Cosyntropin,1
phenol,1
glatiramer acetate,1
Tranexamic acid,1
Teniposide,1
Actinomycin D,1
Tryptophan,1
Manidipine,1
pregabalin,1
suberanilohydroxamic acid,1
palbociclib,1
amikacin,1
Acetylcysteine,1
chlorcyclizine,1
Copaxone,1
Glibenclamide,1
lurasidone,1
aminocaproic acid,1
Equilin,1
Phenobarbital,1
Dimethyl sulfoxide,1
mycophenolate mofetil;,1
Fosfomycin,1
acetylcysteine,1
Ziprasidone,1
propylthiouracil,1
arginine vasopressin,1
Ramipril,1
Diazepam,1
Clorazepate,1
prostaglandin E2.,1
Methoxyflurane,1
ramipril,1
allopurinol,1
dabrafenib,1
Reduced glutathione,1
L-ascorbic acid,1
Tazarotene,1
Vitamin D3,1
Praziquantel,1
Ketoprofen,1
thiamine,1
enzalutamide,1
tolcapone,1
Ifosfamide,1
triclosan,1
daclatasvir,1
Raloxifene,1
Vitamin B3,1
Proline,1
icatibant,1
Vilazodone,1
Chlorambucil,1
haloperidol,1
letrozole,1
irinotecan,1
Midazolam,1
S-adenosyl-L-methionine,1
Triflusal,1
Delamanid,1
Stromectol,1
ivabradine,1
Mecillinam,1
Calcifediol,1
gefitinib,1
AdoMet,1
pirfenidone,1
succinic acid,1
Ceftriaxone,1
Idoxuridine,1
Quetiapine,1
nifedipine,1
Valine,1
cilostazol,1
tetrahydrocannabinol,1
Leucomycin A3,,1
Amiloride,1
Mitoxantrone,1
Hesperetin,1
Ponatinib,1
larotrectinib,1
Eugenol,1
metoclopramide,1
Fostamatinib,1
tadalafil,1
Clonazepam,1
quinacrine,1
Eravacycline,1
Diphyllin,1
Dexmedetomidine,1
Isoflurophate,1
p-aminosalicylic acid;,1
velpatasvir,1
Ephedrine,1
Dapsone,1
Tivozanib,1
tranexamic acid,1
Nystatin,1
N-acetyl-L-cysteine,1
Desmopressin,1
Succinate,1
Gemfibrozil,1
testosterone propionate,1
Daunorubicin,1
Spironolactone,1
pyridostigmine,1
3beta,1
Dabrafenib,1
duvelisib,1
bicalutamide,1
ketoprofen,1
paroxetine,1
Flutamide,1
6-mercaptopurine,1
quetiapine,1
estrone,1
6-Mercaptopurine,1
dimethyl fumarate,,1
zalcitabine,1
methoxamine,1
Levamisole,1
folate,1
Cladribine,1
Temozolomide,1
flutamide,1
Permethrin,1
Tizanidine,1
Triiodothyronine,1
trans-,1
Adrenaline,1
Adenine,1
1alpha,1
Dactinomycin,1
Naloxone,1
eicosapentaenoic acid,,1
Ethambutol,1
thiabendazole,1
Phenytoin,1
propofol,1
aciclovir,1
procainamide,1
rabeprazole,1
Acenocoumarol,1
etravirine,1
Capecitabine,1
Plazomicin,1
fidaxomicin,1
2-alpha,1
choline,1
camazepam,1
Azatadine,1
14.07,1
Omadacycline,1
thymol,1
acetylsalicylic acid;,1
acetylsalicylic acid,,1
Nonoxynol-9,1
Tramadol,1
fostamatinib,1
Micafungin,1
Jakavi,1
Nimodipine,1
Aminophenazone,1
Azathioprine,1
Azitromicina,1
Azacytidine,1
cyanocobalamin,1
noradrenaline,1
tenofovir alafenamide.,1
Flumadine,1
Tobramycin,1
Vapreotide,1
Lercanidipine,1
