,ArticleId,Text
10,PMC7155909,patients with covid 19 may require intubation and critical care management  this comprehensive review summarizes management recommendations in critical care and perioperative settings  based on current understanding of coronavirus biology and acute respiratory distress syndrome pathophysiology  healthcare systems worldwide are responding to coronavirus disease 2019  covid 19   an emerging infectious syndrome caused by the severe acute respiratory syndrome coronavirus 2  sars cov 2  virus  patients with covid 19 can progress from asymptomatic or mild illness to hypoxemic respiratory failure or multisystem organ failure  necessitating intubation and intensive care management  healthcare providers  and particularly anesthesiologists  are at the frontline of this epidemic  and they need to be aware of the best available evidence to guide therapeutic management of patients with covid 19 and to keep themselves safe while doing so  here  the authors review covid 19 pathogenesis  presentation  diagnosis  and potential therapeutics  with a focus on management of covid 19 associated respiratory failure  the authors draw on literature from other viral epidemics  treatment of acute respiratory distress syndrome  and recent publications on covid 19  as well as guidelines from major health organizations  this review provides a comprehensive summary of the evidence currently available to guide management of critically ill patients with covid 19
11,PMC7300956,this article is protected by copyright  all rights reserved  global powerhouses with tried and tested health systems have struggled to contain the covid 19 pandemic  one is left to wonder what will be left of africa  the second most populous continent after asia  which is torn by civil wars  hunger  and diseases like aids and tb and  in recent years  the ebola virus disease  evd   the majority of countries  health systems  already dependent on donor aid  are ill equipped and under resourced to deal with the raging pandemic  there is a lack of isolation and intensive care infrastructure  ventilators  and financial resources to bankroll the fight against covid 19 pandemic  however  there is some cause for optimism  for example  in west africa where infrastructure like diagnostic testing facilities  intensive care units  surveillance  and systems for reporting emergencies used during the evd outbreak of 2013 2016 can be leveraged to fight the covid 19 pandemic  further  a number of african countries have responded swiftly by activating the necessary political and financial tools to combat the pandemic  technical support from continental bodies like the africa centres for disease control and global development partners has improved the capacity of the continent to handle the pandemic  in this article  the authors unpack  review  and share a perspective on africa s capacity to contain and control the covid 19 pandemic and review the current response
12,PMC7245076,dengue virus  denv  is a global health threat  causing repeated epidemics throughout the tropical world  while low herd immunity levels to any one of the four antigenic types of denv predispose populations to outbreaks  viral genetic determinants that confer greater fitness for epidemic spread is an important but poorly understood contributor of dengue outbreaks  here we report that positive epistasis between the coding and noncoding regions of the viral genome combined to elicit an epidemiologic fitness phenotype associated with the 1994 denv2 outbreak in puerto rico  we found that five amino acid substitutions in the ns5 protein reduced viral genomic rna  grna  replication rate to achieve a more favorable and relatively more abundant subgenomic flavivirus rna  sfrna   a byproduct of host 5  3  exoribonuclease activity  the resulting increase in sfrna relative to grna levels not only inhibited type i interferon  ifn  expression in infected cells through a previously described mechanism  but also enabled sfrna to compete with grna for packaging into infectious particles  we suggest that delivery of sfrna to new susceptible cells to inhibit type i ifn induction before grna replication and without the need for further de novo sfrna synthesis could form a  preemptive strike  strategy against denv  dengue affects approximately one half of the world s population  while it causes regular and cyclical outbreaks throughout the tropical world  the molecular mechanisms that determine its epidemic potential remain poorly defined  the present work provides insight into the molecular determinants of epidemiologic fitness  which is critical for surveillance to identify dengue virus strains with a potential to cause outbreaks  this will allow for better implementation of control measures to intercept impending outbreaks before many lives are affected
13,PMC6919591,since 2009  syphilis has been increasing in new york state  nys  excluding new york city  nyc  among men with a history of male to male sexual contact  msm   because msm make up a disproportionate number of new hiv infections  this study aims to  1  establish yearly rates of early syphilis diagnosis  2  assess factors associated with early syphilis diagnosis  and 3  describe missed opportunities for earlier diagnosis of syphilis among msm living with diagnosed hiv msmlwdh  in nys  excluding nyc  a cohort of adult msmlwdh alive in 2013 were followed through 2016 to identify individuals with at least one early syphilis diagnosis between july 2014 and december 2016  early syphilis diagnosis rates were calculated for 2015 and 2016  crude relative risks and 95  confidence intervals were calculated to determine associations between available covariates and both syphilis diagnosis and missed opportunities  missed opportunities were defined as reports of an hiv related laboratory test within a given window corresponding to syphilis staging where syphilis testing was not performed at the same time  of 7 512 msmlwdh  50 0  were non hispanic white  85 4  aged  35  and 320 4 3   had an early syphilis diagnosis  yearly rates were  1 838 100 000  and 1 681 100 000 in 2015 and 2016  respectively  persons who were non hispanic black  living with diagnosed hiv for less than three years  aged  45  and were always virally suppressed or always in hiv care were significantly more likely to have a syphilis diagnosis  over half of individuals had evidence of a missed opportunity for earlier syphilis diagnosis  syphilis stage at diagnosis  older age  and syphilis diagnosis not concurrent with an hiv related laboratory test were associated with a higher likelihood of having a missed opportunity  this study supports high interrelatedness of the syphilis and hiv epidemics among msm  since syphilis can impact hiv viral load suppression status  efforts to end the hiv epidemic need to be coupled with syphilis elimination efforts
14,PMC7253089,covid 19  shining the light on africa
15,PMC7263071,by 21st may 2020  sars cov 2 had caused more than 5 million cases of covid 19 across more than 200 countries  most countries with significant outbreaks have introduced social distancing or  lockdown  measures to reduce viral transmission  so the key question now is when  how  and to what extent  these measures can be lifted  data from multiple countries show that current restrictions on behaviour barely contain the spread of covid19  resuming 20  of the currently excluded contact between individuals looks sufficient to restart the epidemic s progression in many countries  publically available data  on daily numbers of newly confirmed cases and mortality  were used to fit regression models estimating trajectories  doubling times and the reproduction number  r  the estimates of r  intermittent lockdown has been proposed as a means of controlling the outbreak while allowing periods of increase freedom and economic activity  these data suggest that few countries could have even 1 week per month unrestricted without seeing resurgence of the epidemic  similarly  restoring 20  of the activity that has been prevented by the lockdowns looks difficult to reconcile with preventing the resurgence of the disease in most countries
16,PMC6988270,genomic surveillance during ebolavirus outbreaks to elucidate transmission chains and develop diagnostic tests is delayed by the laborious development of variant specific laboratory assays  we developed a new protocol combining 31 parallel pcr assays with illumina minion based sequencing  allowing generic ebolavirus genomic surveillance  validated using cell culture derived ebola  reston  sudan and ta  forest virus at concentrations compatible with patient viral loads  our approach enables pre emptive genomic surveillance of ongoing and future ebolavirus outbreaks irrespective of variant divergence
17,PMC7246460,the ongoing covid 19 pandemic is shaking the foundations of public health governance all over the world  researchers are challenged by informing and supporting authorities on acquired knowledge and practical implications  this editorial applies established theories of risk perception research to covid 19 pandemic  and reflects on the role of risk perceptions in these unprecedented times  and specifically in the framework of the
18,PMC7256352,communicated by ramaswamy h  sarma  severe acute respiratory syndrome coronavirus 2  sars cov 2  is the causative representative of a severe respiratory illness resulted in widespread human infections and deaths in nearly all of the countries since late 2019  there is no therapeutic fda approved drug against sars cov 2 infection  although a combination of anti viral drugs is directly being practiced in some countries  a broad spectrum of antiviral agents are being currently evaluated in clinical trials  and in this review  we specifically focus on the application of remdesivir  rvd  as a potential anti viral compound against middle east respiratory syndrome  mers   cov  sars cov and sars cov 2  first  we overview the general information about sars cov 2  followed by application of rdv as a nucleotide analogue which can potentially inhibits rna dependent rna polymerase of covs  afterwards  we discussed the kinetics of sars  or mers cov proliferation in animal models which is significantly different compared to that in humans  finally  some ongoing challenges and future perspective on the application of rdv either alone or in combination with other anti viral agents against covs infection were surveyed to determine the efficiency of rdv in preclinical trials  as a result  this paper provides crucial evidence of the potency of rdv to prevent sars cov 2 infections
19,PMC6798416,enterovirus a71  ev a71  is one of the common causative pathogens for hand foot and mouth disease  hfmd  affecting young children  hfmd outbreak can result in a substantial pediatric hospitalization and burden the healthcare services  especially in less developed countries  since the initial epidemic of predominantly ev a71 in california in 1969  the high prevalence of hfmd in the asia pacific region and elsewhere around the world represents a significant morbidity in this age group  with the advent of rapid and accurate diagnostic tools  there has been a dramatic increase in the number of laboratory confirmed ev a71 infection over the past two decades  the population  cultural  and socioeconomic diversity among countries in the asia pacific region all influence the transmission and morbidity associated with hfmd  this review summarizes the current state of epidemiology of ev a71 in asia pacific countries based on the most recent epidemiological data and available information on the prevalence and disease burden  this knowledge is important in guiding the prevention  control and future research on vaccine development of this highly contagious disease of significant socioeconomic implications in public health
20,PMC7265527,here  the authors implement a mathematical model that describes how baloxavir antiviral induced inhibition of influenza virus replication in infected individuals affects the spread of the virus during epidemics  suggesting that both the scaling up and acceleration of treatment would avert substantial influenza morbidity and mortality every year  influenza viruses annually kill 290 000 650 000 people worldwide  antivirals can reduce death tolls  baloxavir  the recently approved influenza antiviral  inhibits initiation of viral mrna synthesis  whereas oseltamivir  an older drug  inhibits release of virus progeny  baloxavir blocks virus replication more rapidly and completely than oseltamivir  reducing the duration of infectiousness  hence  early baloxavir treatment may indirectly prevent transmission  here  we estimate impacts of ramping up and accelerating baloxavir treatment on population level incidence using a new model that links viral load dynamics from clinical trial data to between host transmission  we estimate that  22 million infections and  6 000 deaths would have been averted in the 2017 2018 epidemic season by administering baloxavir to 30  of infected cases within 48 h after symptom onset  treatment within 24 h would almost double the impact  consequently  scaling up early baloxavir treatment would substantially reduce influenza morbidity and mortality every year  the development of antivirals against the sars cov2 virus that function like baloxavir might similarly curtail transmission and save lives
21,PMC7174982,since december 2019  a respiratory pandemic named as coronavirus disease 2019  covid 19  caused by a new coronavirus named as sars cov 2  has taken the world by storm  the symptoms are fever  malaise  and cough which resolve in a few days in most cases  but may progress to respiratory distress and organ failure  transmission is through droplet infection or fomites  but other modes such as airborne transmission and oro fecal transmission are also speculated  research is underway to develop effective vaccines and medicines for the disease  in such a scenario  we present the measures described in unani system of medicine for health protection during epidemics  unani is a traditional system of medicine developed during the middle ages  which employs natural drugs of herbal  animal and mineral origin for treatment  in unani medicine  during an epidemic  apart from isolation and quarantine  three measures are of utmost importance   i  purification of surroundings using certain herbal drugs as fumigants or sprays   ii  health promotion and immune modulation  and  iii  use of health protecting drugs and symptom specific drugs  drugs such as
22,PMC6925075,the coalition for epidemic preparedness innovation  cepi  is an innovative global partnership between public  private  philanthropic  and civil society organizations that was launched as the result of a consensus that a coordinated  international  and intergovernmental plan was needed to develop and deploy new vaccines to prevent future epidemics  today s world is characterized by increasing population density  human mobility  urbanization  and climate and ecological change  this global dynamic has various effects  including the increased appearance of emerging infectious diseases  eids   which pose a growing threat to global health security  cepi is focusing on supporting candidate vaccines against the world health organization  who  blueprint priority pathogens mers cov  nipah virus  lassa fever virus  and rift valley fever virus  as well as chikungunya virus  which is on the who watch list  the current vaccine portfolio contains a wide variety of technologies  ranging across recombinant viral vectors  nucleic acids  and recombinant proteins  to support and accelerate vaccine development  cepi will also support science projects related to the development of biological standards and assays  animal models  epidemiological studies  and diagnostics  as well as build capacities for future clinical trials in risk prone contexts  outbreaks of eids  like the 2013 2016 ebola outbreak in west africa or the current ebola outbreak in democratic republic of the congo  drc   have not only put populations in low  and middle income countries  lmic  at risk in terms of morbidity and mortality  but they also have had a significant impact on economic growth in affected regions and beyond
23,PMC7148740,monitoring effluents from wastewater treatment plants is important to preventing both environmental contamination and the spread of disease  viruses of human or animal origin can spread in the environment and infect people via water and food  these viruses are released into the environment by various routes including water runoffs and aerosols  furthermore  zoonotic viruses may infect humans exposed to contaminated surface waters  the present chapter will focus on viral pathogens shown to be transmitted through water  it will also provide an overview of viruses that had not been a concern for waterborne transmission in the past  but that may represent potentially emerging waterborne pathogens due to their occurrence and persistence in water environments  viruses are emerging pathogens and are able to adapt by mutation  recombination  and reassortment and can thus become able to infect new hosts and to adjust to new environments  enteric viruses are among the commonest and most hazardous waterborne pathogens  causing both sporadic and outbreak related illness  while considerable research has documented the risk of enteric viruses to human health from contact with contaminated water  the current bacterial indicator based methods for the evaluation of water quality are often ineffectual proxies for pathogenic viruses  but no correlation was established between the enteric bacteria and viruses studied
24,PMC7278987,following the outbreak of novel severe acute respiratory syndrome  sars  coronavirus  cov 2  the majority of nations are struggling with countermeasures to fight infection  prevent spread and improve patient survival  considering that the pandemic is a recent event  no large clinical trials have been possible and since coronavirus specific drug are not yet available  there is no strong consensus on how to treat the coronavirus disease 2019  covid 19  associated viral pneumonia  coronaviruses code for an important multifunctional enzyme named papain like protease  plp   that has many roles in pathogenesis  first  plp is one of the two viral cysteine proteases  along with 3 chymotripsin like protease  that is responsible for the production of the replicase proteins required for viral replication  second  its intrinsic deubiquitinating and deisgylating activities serve to antagonize the host s immune response that would otherwise hinder infection  both deubiquitinating and deisgylating functions involve the removal of the small regulatory polypeptides  ubiquitin and isg15  respectively  from target proteins  ubiquitin modifications can regulate the innate immune response by affecting regulatory proteins  either by altering their stability via the ubiquitin proteasome pathway or by directly regulating their activity  isg15 is a ubiquitin like modifier with pleiotropic effects  typically expressed during the host cell immune response  plp inhibitors have been evaluated during past coronavirus epidemics  and have showed promising results as an antiviral therapy in vitro  in this review  we recapitulate the roles of plps in coronavirus infections  report a list of plp inhibitors and suggest possible therapeutic strategies for covid 19 treatment  using both clinical and preclinical drugs
25,PMC7036117,dengue is an arboviral febrile illness endemic in many tropical and subtropical regions with frequent epidemics  although most cases are self limiting  progression into dengue haemorrhagic fever can have dire outcomes  the course can also be complicated by infrequent occurrence of unusual clinical manifestations which are increasingly recognized  we describe the case of a 16 year old previously healthy girl diagnosed with dengue  who went on to develop severe ischaemic type central chest pain towards the end of the critical phase of dengue haemorrhagic fever  urgent investigation revealed acute st segment elevations in the high lateral leads of a surface electrocardiogram which completely reverted to normal within 2 hours  associated with elevated cardiac biomarkers but normal findings on transthoracic 2d echocardiography  she was managed with high dose statins  nitrates  and pain relievers and made an uneventful recovery without any further episodes  the possible explanation for the presentation was focal myocarditis leading to coronary artery spasms
26,PMC7278991,in december 2019  a novel severe acute respiratory syndrome  sars  from a new coronavirus  sars cov 2  was recognized in the city of wuhan  china  rapidly  it became an epidemic in china and has now spread throughout the world reaching pandemic proportions  high mortality rates characterize sars cov 2 disease  covid 19   which mainly affects the elderly  causing unrestrained cytokines storm and subsequent pulmonary shutdown  also suspected micro thromboembolism events  at the present time  no specific and dedicated treatments  nor approved vaccines  are available  though very promising data come from the use of anti inflammatory  anti malaria  and anti coagulant drugs  in addition  it seems that males are more susceptible to sars cov 2 than females  with males 65  more likely to die from the infection than females  data from the world health organization  who  and chinese scientists show that of all cases about 1 7  of women who contract the virus will die compared with 2 8  of men  and data from hong kong hospitals state that 32  of male and 15  of female covid 19 patients required intensive care or died  on the other hand  the long term fallout of coronavirus may be worse for women than for men due to social and psychosocial reasons  regardless of sex  or gender biased data obtained from who and those gathered from sometimes controversial scientific journals  some central points should be considered  firstly  sars cov 2 has a strong interaction with the human ace2 receptor  which plays an essential role in cell entry together with transmembrane serine protease 2  tmprss2   it is interesting to note that the
27,PMC7267133,viral epidemics develop from the emergence of new variants of infectious viruses  the lack of effective antiviral treatments for the new viral infections coupled with rapid community spread of the infection often result in major human and financial loss  viral transmissions can occur via close human to human contact or via contacting a contaminated surface  thus  careful disinfection or sanitization is essential to curtail viral spread  a myriad of disinfectants sanitizing agents biocidal agents are available that can inactivate viruses  but their effectiveness is dependent upon many factors such as concentration of agent  reaction time  temperature  and organic load  in this work  we review common commercially available disinfectants agents available on the market and evaluate their effectiveness under various application conditions  in addition  this work also seeks to debunk common myths about viral inactivation and highlight new exciting advances in the development of potential sanitizing agents  virus pandemics are recurrent in human history  and one of the major means of human to human viral transmissions occur through contact with contaminated surfaces  herein  we provide a summary of the major commercially available sanitizing agents used to inactivate viruses and critically evaluate their effectiveness to do so
28,PMC7203211,in this pediatric perspectives article  we discuss current limits in the understanding of novel coronavirus infection  in our opinion  the burden of novel coronavirus infections is underestimated because not actively looked for  we discuss the basis of our observations and what this can generate  suggesting a different approach for the search of the virus in children
29,PMC7120728,influenza  measles  sars  mers  and smallpox illnesses are caused by highly infectious viral pathogens that induce critical illness  these biologically diverse viruses enter and replicate within host cells triggering viral  and host mediated damage that results in pneumonia and multiorgan failure in severe cases  early case identification and strict infection control limit healthcare transmission  vaccination allowed smallpox eradication and limits global measles and seasonal influenza mortality  while sars coronavirus  cov  is no longer circulating  mers cov and zoonotic influenza viruses  with pandemic potential  remain persistent threats  supportive critical care is the mainstay of treatment for severe disease due to these viral infections
30,PMC7179500,sars cov 2 is a novel coronavirus causing a global pandemic of a severe respiratory illness known as covid 19  to date  globally  over 30 000 people have died from this emerging disease  as clinicians and healthcare systems around the world are rapidly adapting to manage patients with covid 19  limited data are emerging from different patient populations to support best practice and improve outcomes  in this review  we present a summary of emerging data in the obstetric population and offer obstetric and anaesthetic clinicians around the world a set of evidence driven  practice based recommendations for the anaesthetic management of pregnant women with suspected or confirmed covid 19
31,PMC7064018,coronaviruses  covs  are a large family of enveloped  positive strand rna viruses  four human covs  hcovs   the non severe acute respiratory syndrome  sars  like hcovs  namely hcov 229e  nl63  oc43  and hku1   are globally endemic and account for a substantial fraction of upper respiratory tract infections  non sars like cov can occasionally produce severe diseases in frail subjects but do not cause any major  fatal  epidemics  in contrast  sars like covs  namely sars cov and middle east respiratory syndrome coronavirus  mers cov  can cause intense short lived fatal outbreaks  the current epidemic caused by the highly contagious sars cov 2 and its rapid spread globally is of major concern  there is scanty knowledge on the actual pandemic potential of this new sars like virus  it might be speculated that sars cov 2 epidemic is grossly underdiagnosed and that the infection is silently spreading across the globe with two consequences   i  clusters of severe infections among frail subjects could haphazardly occur linked to unrecognized index cases   ii  the current epidemic could naturally fall into a low level endemic phase when a significant number of subjects will have developed immunity  understanding the role of paucisymptomatic subjects and stratifying patients according to the risk of developing severe clinical presentations is pivotal for implementing reasonable measures to contain the infection and to reduce its mortality  whilst the future evolution of this epidemic remains unpredictable  classic public health strategies must follow rational patterns  the emergence of yet another global epidemic underscores the permanent challenges that infectious diseases pose and underscores the need for global cooperation and preparedness  even during inter epidemic periods
32,PMC7276765,lessons learnt during the epidemic may help preparation for future epidemics and provide a basis for understanding the pathogenesis  laboratory diagnosis and role of coronaviruses in transfusion medicine  these are continuing problems as coronavirus epidemics may recur with future impact on blood collection and blood donation screening  in the 2003 sars epidemic in hong kong  donor and staff safety was secured by using stringent infection control measures to protect both donors and staff from contacting the virus  all the donors were requested to wear face masks within the donation venue and use an alcohol based hand rinse  the donors  body temperature was checked before donation and staff s body temperatures were checked daily  the safety of the blood supply was secured by a donor deferral policy for 4 weeks following contact with a confirmed or suspected case of and a post donation call back system  despite scheduling mobile donation sessions and a decrease in donors attending blood donor centers  the blood supply was maintained as there was a 12 8  reduction of the demand of blood and only a 16 9  reduction in the blood donation  this article is protected by copyright  all rights reserved  the current global pandemic of covid 19 due to the novel coronavirus sars cov 2 is causing considerable loss of life and enormous social and economic disruption  here  we describe the response of the blood service  the impact on blood donation and the effects on the blood supply in hong kong posed by the earlier sars epidemic in 2002 and 2003  the infection  like sars cov 2 was highly contagious through droplet transmission
33,PMC7187824,the coronavirus disease 2019  covid 19  pandemic is the defining global health crisis of our time and the greatest challenge facing the world  meteorological parameters are reportedly crucial factors affecting respiratory infectious disease epidemics  however  the effect of meteorological parameters on covid 19 remains controversial  this study investigated the effects of temperature and relative humidity on daily new cases and daily new deaths of covid 19  which has useful implications for policymakers and the public  daily data on meteorological conditions  new cases and new deaths of covid 19 were collected for 166 countries  excluding china  as of march 27  2020  log linear generalized additive model was used to analyze the effects of temperature and relative humidity on daily new cases and daily new deaths of covid 19  with potential confounders controlled for  including wind speed  median age of the national population  global health security index  human development index and population density  our findings revealed that temperature and relative humidity were both negatively related to daily new cases and deaths  a 1  c increase in temperature was associated with a 3 08   95  ci  1 53   4 63   reduction in daily new cases and a 1 19   95  ci  0 44   1 95   reduction in daily new deaths  whereas a 1  increase in relative humidity was associated with a 0 85   95  ci  0 51   1 19   reduction in daily new cases and a 0 51   95  ci  0 34   0 67   reduction in daily new deaths  the results remained robust when different lag structures and the sensitivity analysis were used  these findings provide preliminary evidence that the covid 19 pandemic may be partially suppressed with temperature and humidity increases  however  active measures must be taken to control the source of infection  block transmission and prevent further spread of covid 19
34,PMC7291320,the recent outbreak of coronavirus disease 2019  covid 19  caused by severe acute respiratory syndrome coronavirus 2 has been declared a public health emergency of international concern  covid 19 may present as acute respiratory distress syndrome in severe cases  and patients with pre existing cardiovascular comorbidities are reported to be the most vulnerable  notably  acute myocardial injury  determined by elevated high sensitivity troponin levels  is commonly observed in severe cases  and is strongly associated with mortality  therefore  understanding the effects of covid 19 on the cardiovascular system is essential for providing comprehensive medical care for critically ill patients  in this review  we summarize the rapidly evolving data and highlight the cardiovascular considerations related to covid 19
